,REGION,MONTH,PATIENT COUNT,POSITIVE COUNT,PERCENT POSITIVE
451,Oklahoma,August,84223.0,551.0,0.6542155943150921
452,Oklahoma,September,66454.0,866.0,1.3031570710566707
453,Oklahoma,October,90675.0,1002.0,1.1050454921422663
454,Oklahoma,November,102224.0,1944.0,1.9017060572859603
455,Oklahoma,December,87355.0,2406.0,2.754278518688112
456,Oregon,January,176150.0,3610.0,2.0493897246664776
457,Oregon,February,173405.0,2300.0,1.326374672010611
458,Oregon,March,218205.0,2945.0,1.349648266538347
459,Oregon,April,171678.0,2026.0,1.1801162641689673
460,Oregon,May,135136.0,1376.0,1.018233483305707
461,Oregon,June,210892.0,2049.0,0.9715873527682415
462,Oregon,July,166702.0,1136.0,0.6814555314273374
463,Oregon,August,207925.0,1448.0,0.6964049537092701
464,Oregon,September,173772.0,1649.0,0.9489445940657874
465,Oregon,October,167723.0,1870.0,1.1149335511527936
466,Oregon,November,204767.0,2795.0,1.3649660345661165
467,Oregon,December,169812.0,4091.0,2.409134807905213
468,Pennsylvania,January,266391.0,4772.0,1.7913518099335188
469,Pennsylvania,February,270940.0,3954.0,1.4593636967594301
470,Pennsylvania,March,334482.0,4588.0,1.371673214104197
471,Pennsylvania,April,251326.0,2558.0,1.0178015804174658
472,Pennsylvania,May,263699.0,2415.0,0.9158168972957804
473,Pennsylvania,June,321827.0,2195.0,0.682043458131232
474,Pennsylvania,July,265420.0,1382.0,0.5206841986285886
475,Pennsylvania,August,328309.0,1875.0,0.5711083156416669
476,Pennsylvania,September,273686.0,2693.0,0.9839743355524214
477,Pennsylvania,October,274310.0,3091.0,1.1268273121650687
478,Pennsylvania,November,338228.0,5653.0,1.671357782324349
479,Pennsylvania,December,284583.0,9822.0,3.4513656824195404
480,Puerto Rico,January,6473.0,226.0,3.491425923065039
481,Puerto Rico,February,7777.0,222.0,2.8545711714028545
482,Puerto Rico,March,10171.0,286.0,2.811916232425524
483,Puerto Rico,April,7843.0,250.0,3.187555782226189
484,Puerto Rico,May,7599.0,262.0,3.4478220818528755
485,Puerto Rico,June,9643.0,407.0,4.220678212174635
486,Puerto Rico,July,6473.0,243.0,3.754055306658427
487,Puerto Rico,August,7742.0,249.0,3.2162231981400153
488,Puerto Rico,September,8030.0,397.0,4.943960149439602
489,Puerto Rico,October,7164.0,491.0,6.853713009491905
490,Puerto Rico,November,9697.0,774.0,7.981850056718573
491,Puerto Rico,December,7675.0,347.0,4.521172638436481
492,Rhode Island,January,0.0,0.0,
493,Rhode Island,February,0.0,0.0,
494,Rhode Island,March,0.0,0.0,
495,Rhode Island,April,0.0,0.0,
